@RELATION a1
@ATTRIBUTE a	REAL
@ATTRIBUTE b REAL
@ATTRIBUTE c REAL
@ATTRIBUTE class	{1,2,3}

@DATA
0,0,1,1
0,0,1,1
0,0,0,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,0,2
1,0,0,2
0,0,0,2
0,0,0,2
1,0,0,2
0,0,0,2
1,0,0,2
1,0,0,2
0,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
0,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
1,0,0,2
0,0,0,2
0,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
0,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
0,0,0,2
1,0,0,2
0,0,0,2
0,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
0,0,0,2
1,0,0,2
0,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
0,0,0,2
1,0,0,2
0,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
0,0,0,2
1,0,0,2
0,0,0,2
1,0,0,2
1,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
1,0,0,2
1,0,0,2
0,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
0,0,0,2
1,0,0,2
0,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
0,1,0,3
0,1,0,3
0,1,0,3
0,1,0,3
0,1,0,3
0,1,1,3
0,1,0,3
0,1,0,3
0,1,0,3
0,1,0,3
0,1,1,3
0,1,0,3
0,1,1,3
0,1,0,3
0,1,0,3
0,1,1,3
0,1,1,3
0,1,0,3
0,1,1,3
0,1,0,3
0,1,1,3
0,1,0,3
0,1,0,3
0,1,0,3
0,1,0,3
0,1,1,3
0,1,0,3
0,1,0,3
0,1,1,3
0,1,0,3
0,1,1,3
0,1,0,3
0,1,0,3
0,1,1,3
0,1,0,3
0,1,0,3
0,1,0,3
0,1,0,3
0,1,0,3
0,1,0,3
0,1,1,3
0,1,1,3
0,1,0,3
0,1,1,3
0,1,0,3
0,1,0,3
0,1,0,3
0,1,1,3
0,1,0,3
0,1,0,3
0,1,0,3
0,1,1,3
0,1,0,3
0,1,1,3
0,1,0,3
0,1,0,3
0,1,1,3
0,1,0,3
0,1,1,3
0,1,0,3
0,1,0,3
0,1,0,3
0,1,1,3
0,1,1,3
0,1,0,3
0,1,1,3
0,1,0,3
0,1,0,3
0,1,1,3
0,1,0,3
0,1,0,3
0,1,1,3
0,1,1,3
0,1,0,3
0,1,1,3
0,1,1,3
0,1,0,3
0,1,0,3
0,1,0,3
0,1,0,3
0,1,0,3
0,1,1,3
0,1,1,3
0,1,0,3
0,1,1,3
0,1,0,3
0,1,0,3
0,1,0,3
0,1,0,3
0,1,1,3
0,1,1,3
0,1,0,3
0,1,0,3
0,1,0,3
0,1,1,3
0,1,0,3
0,1,1,3
0,1,0,3
0,1,1,3
0,1,1,3
