@RELATION a4
@ATTRIBUTE a	REAL
@ATTRIBUTE b REAL
@ATTRIBUTE c REAL
@ATTRIBUTE d REAL
@ATTRIBUTE class	{1,2,3}

@DATA
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,0,0,1
0,1,1,0,1
0,1,0,0,1
0,1,1,0,1
0,1,1,0,1
0,1,0,0,1
0,1,1,0,1
0,1,0,0,1
0,1,0,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,0,0,1
0,1,1,0,1
0,1,0,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,0,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,0,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,0,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,0,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,0,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,0,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,0,0,1
0,1,1,0,1
0,1,0,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,0,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,0,0,1
0,1,1,0,1
0,1,1,0,1
0,1,0,0,1
0,1,1,0,1
0,1,0,0,1
0,1,1,0,1
0,1,0,0,1
0,0,0,0,1
0,1,0,0,1
0,1,0,0,1
0,0,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,0,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,1,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
