@RELATION dane_6kl_data
@ATTRIBUTE a	REAL
@ATTRIBUTE b REAL
@ATTRIBUTE c REAL
@ATTRIBUTE d REAL
@ATTRIBUTE class	{1,2,3,4,5,6}

@DATA
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
1,0,0,0,2
