@RELATION kwadrat_jajko
@ATTRIBUTE a	REAL
@ATTRIBUTE b REAL
@ATTRIBUTE c REAL
@ATTRIBUTE d REAL
@ATTRIBUTE class	{1,2}

@DATA
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,1,2
0,0,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,1,1,1,2
0,1,1,1,2
0,0,1,0,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,0,1,0,2
0,0,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,0,1,0,2
0,0,1,0,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,0,1,0,2
0,0,1,0,2
0,0,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,0,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,0,1,0,2
0,0,1,0,2
0,1,1,1,2
0,1,1,1,2
0,1,1,1,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,1,0,1,2
0,1,0,1,2
0,0,0,0,2
0,0,0,0,2
0,1,0,1,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,1,0,1,2
0,1,0,1,2
0,1,0,1,2
0,1,0,1,2
0,1,0,1,2
0,0,0,0,2
0,0,0,0,2
0,0,0,0,2
0,1,0,1,2
0,1,0,1,2
0,1,0,1,2
0,1,0,1,2
0,0,0,0,2
0,0,0,0,2
0,1,0,1,2
0,1,0,1,2
0,1,0,1,2
