@RELATION mag2
@ATTRIBUTE a	REAL
@ATTRIBUTE b REAL
@ATTRIBUTE c REAL
@ATTRIBUTE d REAL
@ATTRIBUTE e REAL
@ATTRIBUTE f REAL
@ATTRIBUTE g REAL
@ATTRIBUTE h REAL
@ATTRIBUTE i REAL
@ATTRIBUTE j REAL
@ATTRIBUTE k REAL
@ATTRIBUTE class	{1,2}

@DATA
0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,1,1,1
0,1,1,1,0,0,1,1,1,0,0,1
0,0,1,1,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,1,0,1,0,0,1
0,1,1,1,0,0,1,1,1,0,0,1
0,0,1,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,1,1,0,1
0,0,1,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,1,0,1,0,0,1
0,0,1,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,1,1,0,1
0,0,1,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,1,1,0,1
0,0,1,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,1,0,0,0,0,1,1,1
0,0,1,0,0,0,1,1,1,0,0,1
0,0,1,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,1,1,1
0,0,1,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,1,1,0,0,1,1,1,0,0,1
0,1,1,1,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,0,1,0,0,1
0,0,1,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,1,0,1,1,0,1
0,0,0,0,0,0,0,0,0,1,1,1
0,0,1,0,0,0,1,1,1,0,0,1
0,0,1,1,0,0,1,1,1,0,0,1
0,0,1,1,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,1,0,1,1,0,1
0,0,1,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,0,1,0,0,1
0,0,1,1,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,1,0,0,0,1,1,1,0,0,1
0,0,1,1,0,0,1,1,1,0,0,1
0,0,1,1,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,0,1,1,0,1
0,0,1,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,0,1,0,0,1
0,0,1,1,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,1,1,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,1,0,0,0,1,1,1,0,0,1
0,0,1,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,1,1,0,0,1
0,0,1,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,1,2
0,0,0,0,0,0,0,1,1,0,0,2
0,0,0,0,0,0,0,1,1,0,0,2
0,0,0,0,0,0,0,0,0,0,1,2
1,0,0,0,1,0,0,0,0,0,1,2
0,0,0,0,0,0,0,0,0,0,1,2
1,0,0,0,1,0,0,0,0,1,1,2
0,0,0,0,0,0,0,1,0,0,1,2
0,0,0,0,0,0,0,1,0,0,1,2
1,0,0,0,1,0,0,0,0,1,1,2
0,0,0,1,0,0,1,1,1,0,0,2
1,0,0,0,1,0,0,1,0,0,1,2
1,0,0,0,1,0,0,0,0,1,1,2
0,0,0,0,0,0,0,1,0,0,1,2
1,0,0,0,1,0,0,0,0,1,1,2
0,0,0,0,0,0,0,1,0,0,1,2
1,0,0,0,1,0,0,0,0,1,1,2
1,0,0,0,1,0,0,0,0,1,1,2
1,0,0,0,1,0,0,0,0,1,1,2
0,0,0,0,0,0,0,1,0,0,1,2
1,0,0,0,1,0,0,0,0,1,1,2
0,0,0,0,0,0,0,1,0,0,1,2
0,0,0,0,0,0,0,1,0,0,1,2
0,0,0,1,0,0,1,1,1,0,0,2
1,0,0,0,1,0,0,0,0,0,1,2
0,0,0,0,0,0,0,1,0,0,0,2
0,0,0,0,0,0,0,0,0,0,1,2
1,0,0,0,1,0,0,0,0,1,1,2
1,0,0,0,1,0,0,0,0,0,1,2
1,0,0,0,1,0,0,0,0,1,1,2
0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,1,0,0,1,1,1,0,0,2
0,0,0,0,0,0,0,1,1,0,0,2
1,0,0,0,1,0,0,0,0,0,1,2
0,0,0,0,0,0,0,1,0,0,1,2
0,0,0,0,0,0,0,1,0,0,1,2
0,0,0,0,0,0,0,1,1,0,0,2
1,0,0,0,1,0,0,1,0,0,1,2
0,0,0,0,0,0,0,1,0,0,1,2
0,0,0,0,0,0,0,0,0,0,1,2
0,0,0,0,0,0,0,1,1,0,0,2
1,0,0,0,1,0,0,1,0,0,1,2
1,0,0,0,1,0,0,0,0,1,1,2
1,0,0,0,1,0,0,0,0,0,1,2
1,0,0,0,1,0,0,0,0,1,1,2
1,0,0,0,1,0,0,0,0,1,1,2
1,0,0,0,1,0,0,0,0,1,1,2
0,0,0,1,0,0,0,1,1,0,0,2
1,0,0,0,1,0,0,1,0,0,1,2
0,0,0,0,0,0,0,1,0,0,1,2
0,0,0,0,0,0,0,1,0,0,1,2
1,0,0,0,1,0,0,0,0,1,1,2
0,0,0,1,0,0,0,1,0,0,1,2
1,0,0,0,1,0,0,0,0,1,1,2
0,0,0,0,0,0,0,1,0,0,1,2
0,0,0,0,0,0,0,0,0,0,1,2
0,0,0,0,0,0,0,1,1,0,0,2
1,0,0,0,1,0,0,0,0,1,1,2
0,0,0,0,0,0,0,1,0,0,1,2
0,0,0,0,0,0,0,1,0,0,1,2
1,0,0,0,1,1,0,0,0,1,1,2
1,0,0,0,1,0,0,0,0,0,1,2
1,0,0,0,1,0,0,0,0,1,1,2
1,0,0,0,1,0,0,0,0,0,1,2
0,0,0,0,0,0,0,1,0,0,1,2
1,0,0,0,1,0,0,0,0,1,1,2
0,0,0,0,0,0,0,1,0,0,1,2
1,0,0,0,1,0,0,0,0,1,1,2
0,0,0,0,0,0,0,1,1,0,0,2
0,0,0,0,0,0,0,1,0,0,1,2
0,0,0,0,0,0,0,1,0,0,1,2
0,0,0,0,0,0,0,1,1,0,0,2
0,0,0,0,0,0,0,1,0,0,1,2
0,0,0,0,0,0,0,1,0,0,1,2
0,0,0,0,0,0,0,1,0,0,1,2
1,0,0,0,1,0,0,0,0,1,1,2
1,0,0,0,1,0,0,1,0,0,1,2
1,0,0,0,1,0,0,0,0,1,1,2
0,0,0,0,0,0,0,0,0,0,1,2
0,0,0,0,0,0,0,1,0,0,1,2
1,0,0,0,1,0,0,0,0,1,1,2
0,0,0,0,0,0,0,1,0,0,1,2
1,0,0,0,1,0,0,0,0,1,1,2
0,0,0,0,0,0,0,1,0,0,1,2
0,0,0,1,0,0,0,1,1,0,0,2
0,0,0,0,0,0,0,1,0,0,1,2
1,0,0,0,1,0,0,1,0,0,1,2
1,0,0,0,1,0,0,0,0,1,1,2
1,0,0,0,1,0,0,0,0,1,1,2
0,0,0,0,0,0,0,1,0,0,1,2
0,0,0,0,0,0,0,0,0,0,1,2
1,0,0,0,1,0,0,0,0,1,1,2
0,0,0,0,0,0,0,1,1,0,0,2
0,0,0,1,0,0,0,1,1,0,0,2
0,0,0,1,0,0,0,1,1,0,0,2
1,0,0,0,1,0,0,0,0,1,1,2
0,0,0,0,0,0,0,1,0,0,1,2
0,0,0,0,0,0,0,1,0,0,1,2
1,0,0,0,1,0,0,0,0,1,1,2
0,0,0,1,0,0,1,1,1,0,0,2
0,0,0,0,0,1,1,0,1,1,0,2
